term,term_count,doc_count,rank,frequency
techniker,9,9,149,8.57796416317194e-4
versicherungskaufmann,9,9,150,8.57796416317194e-4
übersetzerin,9,9,151,8.57796416317194e-4
abteilungsleiter,8,8,152,7.624857033930614e-4
architektin,8,8,153,7.624857033930614e-4
bauingenieur,8,8,154,7.624857033930614e-4
chemie,8,8,155,7.624857033930614e-4
chemikerin,8,8,156,7.624857033930614e-4
dezernent,8,8,157,7.624857033930614e-4
erster,8,8,158,7.624857033930614e-4
gewerkschaftssekretär,8,8,159,7.624857033930614e-4
handelslehrer,8,8,160,7.624857033930614e-4
historikerin,8,8,161,7.624857033930614e-4
ihk,8,8,162,7.624857033930614e-4
informatikerin,8,8,163,7.624857033930614e-4
kaufmännische,8,8,164,7.624857033930614e-4
kinder,8,8,165,7.624857033930614e-4
landwirtschaftsmeister,8,8,166,7.624857033930614e-4
müllermeister,8,8,167,7.624857033930614e-4
oberregierungsrat,8,8,168,7.624857033930614e-4
oberstleutnant,8,8,169,7.624857033930614e-4
professorin,8,8,170,7.624857033930614e-4
publizist,8,8,171,7.624857033930614e-4
rer,8,8,172,7.624857033930614e-4
selbständig,8,8,173,7.624857033930614e-4
stadt,8,8,174,7.624857033930614e-4
stadtrat,8,8,175,7.624857033930614e-4
z,8,6,176,7.624857033930614e-4
autorin,7,7,177,6.671749904689287e-4
bäckermeister,7,7,178,6.671749904689287e-4
designer,7,7,179,6.671749904689287e-4
diplomlehrer,7,7,180,6.671749904689287e-4
elektromeister,7,7,181,6.671749904689287e-4
erwachsenenbildung,7,7,182,6.671749904689287e-4
erzieher,7,7,183,6.671749904689287e-4
fachkraft,7,7,184,6.671749904689287e-4
fachärztin,7,7,185,6.671749904689287e-4
finanzwirt,7,7,186,6.671749904689287e-4
forstingenieur,7,7,187,6.671749904689287e-4
freiberufliche,7,7,188,6.671749904689287e-4
geograph,7,7,189,6.671749904689287e-4
kfm,7,7,190,6.671749904689287e-4
marketing,7,7,191,6.671749904689287e-4
ministerialrat,7,7,192,6.671749904689287e-4
polizeibeamter,7,7,193,6.671749904689287e-4
psychologin,7,7,194,6.671749904689287e-4
realschullehrer,7,7,195,6.671749904689287e-4
regierungsdirektor,7,7,196,6.671749904689287e-4
rektor,7,7,197,6.671749904689287e-4
selbstaendiger,7,7,198,6.671749904689287e-4
techn,7,7,199,6.671749904689287e-4
wirtschaftsjurist,7,7,200,6.671749904689287e-4
ärztin,7,7,201,6.671749904689287e-4
agrar,6,6,202,5.71864277544796e-4
agraringenieurin,6,6,203,5.71864277544796e-4
akademischer,6,6,204,5.71864277544796e-4
architektur,6,6,205,5.71864277544796e-4
assistent,6,6,206,5.71864277544796e-4
ba,6,6,207,5.71864277544796e-4
bau,6,6,208,5.71864277544796e-4
berufsschullehrer,6,6,209,5.71864277544796e-4
diplomkaufmann,6,6,210,5.71864277544796e-4
einzelhandel,6,6,211,5.71864277544796e-4
elektromonteur,6,6,212,5.71864277544796e-4
erzieherin,6,6,213,5.71864277544796e-4
finanzen,6,6,214,5.71864277544796e-4
forstwirt,6,6,215,5.71864277544796e-4
freiberuflicher,6,6,216,5.71864277544796e-4
freie,6,6,217,5.71864277544796e-4
geprüfte,6,6,218,5.71864277544796e-4
groß,6,6,219,5.71864277544796e-4
handelsvertreter,6,6,220,5.71864277544796e-4
handwerker,6,6,221,5.71864277544796e-4
hauptschullehrer,6,6,222,5.71864277544796e-4
industriekauffrau,6,6,223,5.71864277544796e-4
industriekaufmann,6,6,224,5.71864277544796e-4
innenarchitektin,6,6,225,5.71864277544796e-4
krankenpfleger,6,6,226,5.71864277544796e-4
kulturwissenschaftler,6,6,227,5.71864277544796e-4
leiterin,6,6,228,5.71864277544796e-4
lg,6,6,229,5.71864277544796e-4
ltd,6,6,230,5.71864277544796e-4
maschinenbaumeister,6,6,231,5.71864277544796e-4
maschinenbautechniker,6,6,232,5.71864277544796e-4
medizinisch,6,6,233,5.71864277544796e-4
musikerin,6,6,234,5.71864277544796e-4
nrw,6,6,235,5.71864277544796e-4
oberrechtsrat,6,6,236,5.71864277544796e-4
parlamentarische,6,6,237,5.71864277544796e-4
physik,6,6,238,5.71864277544796e-4
schlosser,6,6,239,5.71864277544796e-4
selbstständige,6,6,240,5.71864277544796e-4
selbständige,6,6,241,5.71864277544796e-4
software,6,6,242,5.71864277544796e-4
sportlehrer,6,6,243,5.71864277544796e-4
staatsministerin,6,6,244,5.71864277544796e-4
tierarzt,6,6,245,5.71864277544796e-4
u,6,6,246,5.71864277544796e-4
umwelt,6,6,247,5.71864277544796e-4
unternehmerin,6,6,248,5.71864277544796e-4
verfahrenstechnik,6,6,249,5.71864277544796e-4
versicherungsfachmann,6,6,250,5.71864277544796e-4
vwa,6,6,251,5.71864277544796e-4
wirtschaftsberater,6,6,252,5.71864277544796e-4
wissenschaftliche,6,6,253,5.71864277544796e-4
allgemeinmedizin,5,5,254,4.765535646206634e-4
arbeit,5,5,255,4.765535646206634e-4
assessor,5,5,256,4.765535646206634e-4
autor,5,5,257,4.765535646206634e-4
bauingenieurin,5,5,258,4.765535646206634e-4
beamtin,5,5,259,4.765535646206634e-4
beigeordnete,5,5,260,4.765535646206634e-4
beigeordneter,5,5,261,4.765535646206634e-4
