occupation,has_domain,domain,clean_title
realschullehrerin,FALSE,NA,realschullehrerin
oberstudienrat i r,FALSE,NA,oberstudienrat i r
hausfrau,FALSE,NA,hausfrau
apotheker,FALSE,NA,apotheker
diplompolitologe mdb,FALSE,NA,diplompolitologe mdb
bundesminister,FALSE,NA,bundesminister
studienrat ingenieur,FALSE,NA,studienrat ingenieur
wissenschaftlicher assistent,FALSE,NA,wissenschaftlicher assistent
rektor a d,FALSE,NA,rektor a d
landwirt lohnunternehmer,FALSE,NA,landwirt lohnunternehmer
landrat a d,FALSE,NA,landrat a d
leitender angestellter mdl,FALSE,NA,leitender angestellter mdl
pfarrer,FALSE,NA,pfarrer
amtsrat,FALSE,NA,amtsrat
pfarrer wartestand,FALSE,NA,pfarrer wartestand
malermeister,FALSE,NA,malermeister
wirtschaftsjurist,FALSE,NA,wirtschaftsjurist
ministerialrat,FALSE,NA,ministerialrat
konrektorin,FALSE,NA,konrektorin
diplom mathematiker,FALSE,NA,diplom mathematiker
diplom ingenieur agr,FALSE,NA,diplom ingenieur agr
bautechnikerin,FALSE,NA,bautechnikerin
professor fuer elektrotechnik,FALSE,NA,professor fuer elektrotechnik
angestellter,FALSE,NA,angestellter
sozialarbeiter grad,FALSE,NA,sozialarbeiter grad
staatssekretaerin,FALSE,NA,staatssekretaerin
diplom politologe,FALSE,NA,diplom politologe
stadtforstoberamtsrat,FALSE,NA,stadtforstoberamtsrat
technischer betriebswirt,FALSE,NA,technischer betriebswirt
notar mdl,FALSE,NA,notar mdl
oberstudiendirektor,FALSE,NA,oberstudiendirektor
diplomwirtschaftslehrerin,FALSE,NA,diplomwirtschaftslehrerin
offizier,FALSE,NA,offizier
rechtsanwalt notar mdb,FALSE,NA,rechtsanwalt notar mdb
hauptschulkonrektor,FALSE,NA,hauptschulkonrektor
bergingenieur grad,FALSE,NA,bergingenieur grad
leitender angestellter,FALSE,NA,leitender angestellter
mdb rechtsanwalt,FALSE,NA,mdb rechtsanwalt
assessor des bergfachs,FALSE,NA,assessor des bergfachs
regierungsdirektor a d,FALSE,NA,regierungsdirektor a d
geschaeftsfuehrer mdb,FALSE,NA,geschaeftsfuehrer mdb
fliesenleger,FALSE,NA,fliesenleger
verwaltungsrat,FALSE,NA,verwaltungsrat
verlagskaufmann,FALSE,NA,verlagskaufmann
regierungsdirektor,FALSE,NA,regierungsdirektor
muellermeister mdb,FALSE,NA,muellermeister mdb
staatsanwalt,FALSE,NA,staatsanwalt
buergermeister,FALSE,NA,buergermeister
wissenschaftlicher mitarbeiter,FALSE,NA,wissenschaftlicher mitarbeiter
sozialpaedagoge grad,FALSE,NA,sozialpaedagoge grad
medizinisch technische angestellte,FALSE,NA,medizinisch technische angestellte
kulturreferent,FALSE,NA,kulturreferent
polizeihauptkommissar,FALSE,NA,polizeihauptkommissar
verwaltungsangestellte,FALSE,NA,verwaltungsangestellte
buchdrucker,FALSE,NA,buchdrucker
bildungsreferent,FALSE,NA,bildungsreferent
einzelhandelskaufmann,FALSE,NA,einzelhandelskaufmann
elektroschweisser,FALSE,NA,elektroschweisser
kostuembildnerin,FALSE,NA,kostuembildnerin
bundesminister mdb,FALSE,NA,bundesminister mdb
gewerkschaftsvorsitzender mdb,FALSE,NA,gewerkschaftsvorsitzender mdb
hauswirtschaftsschulraetin,FALSE,NA,hauswirtschaftsschulraetin
studiendirektor,FALSE,NA,studiendirektor
staatsminister mdb,FALSE,NA,staatsminister mdb
studiendirektor mdb,FALSE,NA,studiendirektor mdb
student architektur,FALSE,NA,student architektur
gymnasiallehrerin,FALSE,NA,gymnasiallehrerin
sozialarbeiter mdb,FALSE,NA,sozialarbeiter mdb
bundesminister fuer forschung technologie,FALSE,NA,bundesminister fuer forschung technologie
baeckermeister,FALSE,NA,baeckermeister
institutsleiter,FALSE,NA,institutsleiter
bauingenieur,FALSE,NA,bauingenieur
diplom physiker,FALSE,NA,diplom physiker
praktischer arzt,FALSE,NA,praktischer arzt
patentingenieur,FALSE,NA,patentingenieur
diplomlandwirt,FALSE,NA,diplomlandwirt
historiker,FALSE,NA,historiker
lehrer staatssekretaer a d,FALSE,NA,lehrer staatssekretaer a d
bankier,FALSE,NA,bankier
kaufmann mdb,FALSE,NA,kaufmann mdb
chemiker,FALSE,NA,chemiker
dioezesansekretaer mdb,FALSE,NA,dioezesansekretaer mdb
diplom volkswirt lehrer,FALSE,NA,diplom volkswirt lehrer
journalist,FALSE,NA,journalist
hoteliere,FALSE,NA,hoteliere
studienrat a d mdb,FALSE,NA,studienrat a d mdb
brigadegeneral,FALSE,NA,brigadegeneral
elektromonteur,FALSE,NA,elektromonteur
hochdruckschweisser,FALSE,NA,hochdruckschweisser
studienleiterin,FALSE,NA,studienleiterin
rehabilitationsberaterin,FALSE,NA,rehabilitationsberaterin
berufsschullehrer,FALSE,NA,berufsschullehrer
staatsminister beim bundeskanzler,FALSE,NA,staatsminister beim bundeskanzler
regierungsdirektor a d mdb,FALSE,NA,regierungsdirektor a d mdb
diplom ingenieur stadt u regionalplaner,FALSE,NA,diplom ingenieur stadt u regionalplaner
maschinenbauingenieur grad,FALSE,NA,maschinenbauingenieur grad
diplom landwirt mdb,FALSE,NA,diplom landwirt mdb
obersekretaer a d,FALSE,NA,obersekretaer a d
kreisdirektor a d,FALSE,NA,kreisdirektor a d
realschullehrer a d,FALSE,NA,realschullehrer a d
zollbeamter,FALSE,NA,zollbeamter
gewerkschaftssekretaer,FALSE,NA,gewerkschaftssekretaer
bundesbahndirektor a d mdb,FALSE,NA,bundesbahndirektor a d mdb
buchhalterin,FALSE,NA,buchhalterin
doplom ingenieur architekt,FALSE,NA,doplom ingenieur architekt
verwaltungsbeamter,FALSE,NA,verwaltungsbeamter
beamter a d,FALSE,NA,beamter a d
