occupation,original_occupation,matched_kldb_code,matched_kldb_title,original_matched_kldb_title,similarity_score
buch drucker meister,buchdruckermeister,23493,buch drucker meister,buchdruckermeister,1.0000017
wasser installateur,wasserinstallateur,34212,wasser installateur,wasserinstallateur,1.0000014
steuer fachangestellte,steuerfachangestellte,72302,steuer fachangestellte,steuerfachangestellte r,1.0000013
konditor meister,konditormeister,29293,konditor meister,konditormeister,1.0000012
maschine schlosser,maschinenschlosser,25102,maschine schlosser,maschinenschlosser,1.0000011
redakt uri,redakteurin,92413,redakt uri,redakteurin,1.0000011
mitarbeit,mitarbeiter forschung,61123,mitarbeit,mitarbeiter außendienst,1.0000011
dozentin,dozentin,84404,dozentin,dozentin erwachsenenbildung,1.0000011
schreinerin,schreinerin,22342,schreinerin,schreinerin,1.0000011
stadt kammer,stadtkämmerer a d,73284,stadt kammer,stadtkämmerer kämmerin,1.0000011
export sachbearbeiterin,exportsachbearbeiterin,61212,export sachbearbeiterin,exportsachbearbeiterin,1.0000011
fach bereich leiter,fachbereichsleiter,84184,fach bereich leiter,fachbereichsleiter gesamtschulen,1.000001
sicherheit berater,sicherheitsberater,53152,sicherheit berater,sicherheitsberater detektei,1.000001
gemeinde helfer,gemeindehelfer kinder und jugendfragen,83322,gemeinde helfer,gemeindehelfer,1.000001
physik,physiker,41404,physik,physiker,1.000001
parkettleger meister,parkettlegermeister,33193,parkettleger meister,parkettlegermeister,1.000001
key,key account managerin,92133,key,key accounter,1.000001
patentanwalt,patentanwalt,73134,patentanwalt,patentanwalt anwältin,1.000001
dtp fachkraft,dtp fachkraft,23212,dtp fachkraft,dtp fachkraft,1.000001
wirt schaft journalist,wirtschaftsjournalist,92414,wirt schaft journalist,wirtschaftsjournalist,1.0000008
sprachmittlerin,sprachmittlerin,71423,sprachmittlerin,sprachmittlerin,1.0000008
immobilie makler,immobilienmakler,61313,immobilie makler,immobilienmakler,1.0000008
lager arbeit,lagerarbeiter,51311,lager arbeit,lagerarbeiter,1.0000008
drucker,drucker,23412,drucker,drucker,1.0000008
scha ust eller,schausteller,94342,scha ust eller,schausteller,1.0000008
abteilung steiger,abteilungssteiger,21193,abteilung steiger,abteilungssteiger,1.0000008
werk zeug konstrukteur,werkzeugkonstrukteur,27223,werk zeug konstrukteur,werkzeugkonstrukteur,1.0000008
berater,berater,61123,berater,berater außendienst,1.0000008
sozi hera,soziotherapeut,81634,sozi hera,soziotherapeut,1.0000008
haus arzt,hausarzt,81404,haus arzt,hausarzt ärztin,1.0000008
mechanik meister,mechanikermeister,25193,mechanik meister,mechanikermeister,1.0000008
interviewerin,interviewerin,91341,interviewerin,interviewerin,1.0000008
taxi fahrer,taxifahrer,52112,taxi fahrer,taxifahrer,1.0000008
str ahle schutz,strahlenschutz assistentin,42333,str ahle schutz,strahlenschützer,1.0000008
pfleger,pfleger,83124,pfleger,pfleger pflegerin sozialarbeiter,1.0000008
beraterin,beraterin,61123,beraterin,beraterin außendienst,1.0000008
landtagsabgeordnete,landtagsabgeordnete,71214,landtagsabgeordnete,landtagsabgeordnete r,1.0000008
therapeut,therapeut,81713,therapeut,therapeut bobath,1.0000007
verbands direktor,verbandsdirektor,71224,verbands direktor,verbandsdirektor,1.0000007
zahn arzt helferin,zahnarzthelferin,81112,zahn arzt helferin,zahnarzthelferin,1.0000007
sport manager,sportmanager,63124,sport manager,sportmanager ökonom,1.0000007
automobilverkäufer,automobilverkäufer,62272,automobilverkäufer,automobilverkäufer,1.0000007
integrat ion helfer,integrationshelfer,83131,integrat ion helfer,integrationshelfer,1.0000007
abgeordnetenassistentin,abgeordnetenassistentin,71402,abgeordnetenassistentin,abgeordnetenassistentin,1.0000007
agrotechnik,agrotechnikerin,11102,agrotechnik,agrotechniker mechanisator,1.0000007
umwelt schutz technik,umweltschutztechniker,42203,umwelt schutz technik,umweltschutz und verfahrenstechniker,1.0000007
privatlehrer,privatlehrer,84184,privatlehrer,privatlehrer,1.0000007
bio statistik,biostatistiker,41114,bio statistik,biostatistiker,1.0000007
stein metz,steinmetz,21232,stein metz,steinmetz,1.0000007
fregatte kapitän,fregattenkapitän,01104,fregatte kapitän,fregattenkapitän,1.0000007
bank direktor,bankdirektor,72194,bank direktor,bankdirektor,1.0000007
notar,notar,73124,notar,notar,1.0000007
bildung beau,bildungsbeauftragter,71524,bildung beau,bildungsbeauftragte r,1.0000007
werk stoff prüfer,werkstoffprüfer,41422,werk stoff prüfer,werkstoffprüfer,1.0000007
luft sicherheit assistent,luftsicherheitsassistent,53112,luft sicherheit assistent,luftsicherheitsassistent,1.0000007
historikerin,historikerin,91224,historikerin,historikerin,1.0000007
fach,fachschuldozent,28132,fach,facher,1.0000007
richter,richter a d,73154,richter,richter,1.0000007
pastoralreferentin,pastoralreferentin,83314,pastoralreferentin,pastoralreferentin,1.0000007
teilezurichter,teilezurichter,24202,teilezurichter,teilezurichter,1.0000007
dv koordina tor,dv koordinator,43323,dv koordina tor,dv koordinator,1.0000007
wirt schaft ing uri,wirtschaftsingenieurin,27304,wirt schaft ing uri,wirtschaftsingenieurin,1.0000007
verwaltung jurist,verwaltungsjurist,73184,verwaltung jurist,verwaltungsjurist,1.0000006
dramaturg,dramaturg,94404,dramaturg,dramaturg,1.0000006
polizist,polizist,53212,polizist,polizist,1.0000006
maschine schlosserin,maschinenschlosserin,25102,maschine schlosserin,maschinenschlosserin,1.0000006
sprecherzieherin,sprecherzieherin,81733,sprecherzieherin,sprecherzieherin,1.0000006
mast,master of arts,71304,mast,master european utility management,1.0000006
logistik meister,logistikmeister,51393,logistik meister,logistikmeister,1.0000006
arbeit pädagoge,arbeitspädagoge,91334,arbeit pädagoge,arbeitspädagoge pädagogin,1.0000006
haus,haus,34301,haus,hausentrümpeler,1.0000006
medizin technik,medizintechniker,82503,medizin technik,medizintechniker,1.0000006
verwaltung richterin,verwaltungsrichterin,73154,verwaltung richterin,verwaltungsrichterin,1.0000006
lehrbeauftragte,lehrbeauftragte,84304,lehrbeauftragte,lehrbeauftragte r,1.0000006
notarin,notarin,73124,notarin,notarin,1.0000006
film,film,94414,film,film und fernsehregisseur,1.0000006
heimerzieherin,heimerzieherin,83112,heimerzieherin,heimerzieherin,1.0000006
studie leiter,studienleiter i r,84494,studie leiter,studienleiter sprachschule,1.0000006
physikerin,physikerin,41404,physikerin,physikerin,1.0000006
drogistin,drogistin,62412,drogistin,drogistin,1.0000006
korrektorin,korrektorin,71442,korrektorin,korrektorin,1.0000006
elektronik technik,elektroniker betriebstechnik,26122,elektronik technik,elektroniker automatisierungstechnik industrie,1.0000006
gold schmiedin,goldschmiedin,93522,gold schmiedin,goldschmiedin juwelen,1.0000006
universität dozent,universitätsdozent,84304,universität dozent,universitätsdozent,1.0000006
beruf berater,berufsberater,71524,beruf berater,berufsberater,1.0000006
starkstrom elektrik,starkstromelektriker,26252,starkstrom elektrik,starkstromelektriker,1.0000006
journalistin,journalistin,92414,journalistin,journalistin,1.0000006
info ion managerin,informationsmanagerin,43114,info ion managerin,informationsmanagerin,1.0000006
zahn technikerin,zahntechnikerin,82542,zahn technikerin,zahntechnikerin,1.0000006
sängerin,sängerin,94124,sängerin,sängerin,1.0000006
versicherungsangestellte,versicherungsangestellte,72132,versicherungsangestellte,versicherungsangestellte r,1.0000006
betriebs schlosserin,betriebsschlosserin,25102,betriebs schlosserin,betriebsschlosserin,1.0000006
sozialpädagoge,sozialpädagoge,83124,sozialpädagoge,sozialpädagoge pädagogin,1.0000006
persona,personal,84553,persona,personal trainer sport und fitness,1.0000006
kfz,kfz meister,93104,kfz,kfz designer,1.0000006
leiter bildung,leiter einer weiterbildungs akademie,84294,leiter bildung,leiter aus und weiterbildung,1.0000006
schicht leiter,schichtleiter,27393,schicht leiter,schichtleiter,1.0000006
edv organisatorin,edv organisatorin,43113,edv organisatorin,edv organisatorin,1.0000006
management,management trainer,71324,management,management referent,1.0000006
realschullehrer,realschullehrer,84124,realschullehrer,realschullehrer,1.0000006
sicherheit fachkraft,sicherheitsfachkraft,53123,sicherheit fachkraft,sicherheitsfachkraft,1.0000006
schulbegleiter,schulbegleiter,83131,schulbegleiter,schulbegleiter,1.0000006
volk hochschulleiter,volkshochschulleiter,84494,volk hochschulleiter,volkshochschulleiter,1.0000006
hotel direktor,hoteldirektor,63294,hotel direktor,hoteldirektor,1.0000006
vertriebs mitarbeit,vertriebsmitarbeiter,61122,vertriebs mitarbeit,vertriebsmitarbeiter,1.0000006
diakonin,diakonin,83323,diakonin,diakonin,1.0000006
beruf soldat,berufssoldat a d,01402,beruf soldat,berufssoldat,1.0000006
statistik,statistiker,41114,statistik,statistiker,1.0000005
land schaft gärtnerin,landschaftsgärtnerin,12142,land schaft gärtnerin,landschaftsgärtnerin,1.0000005
wirt schaft informatikerin,wirtschaftsinformatikerin,43114,wirt schaft informatikerin,wirtschaftsinformatikerin,1.0000005
kfz nike,kfz mechaniker,25212,kfz nike,kfz mechaniker,1.0000005
rechtsassessor,rechtsassessor,73104,rechtsassessor,rechtsassessor,1.0000005
metall,metallografin,24302,metall,metallätzer,1.0000005
haupt schullehrerin,hauptschullehrerin,84124,haupt schullehrerin,hauptschullehrerin,1.0000005
projekt manager,projektmanager,71393,projekt manager,projektmanager,1.0000005
küche meister,küchenmeister,29393,küche meister,küchenmeister,1.0000005
finanz kaufmann,finanzkaufmann,61212,finanz kaufmann,finanzkaufmann frau außenhandel,1.0000005
förderlehrer,förderlehrer,84134,förderlehrer,förderlehrer,1.0000005
versicherung betriebs wirt,versicherungsbetriebswirt,72133,versicherung betriebs wirt,versicherungsbetriebswirt dva,1.0000005
reis verkehrs kaufmann,reiseverkehrskaufmann,63112,reis verkehrs kaufmann,reiseverkehrskaufmann frau,1.0000005
betriebs wirtin werk,betriebswirtin des handwerks,71303,betriebs wirtin werk,betriebswirtin handwerk,1.0000005
wirt schaft wissenschaftler,wirtschaftswissenschaftler,91404,wirt schaft wissenschaftler,wirtschaftswissenschaftler,1.0000005
chemie laborant,chemielaborant,41322,chemie laborant,chemielaborant,1.0000005
stahlbau schlosser,stahlbauschlosser,24412,stahlbau schlosser,stahlbauschlosser,1.0000005
monteur,monteur,25112,monteur,monteur,1.0000005
konfekt macher,konfektmacher,29262,konfekt macher,konfektmacher,1.0000005
referat leiterin,referatsleiterin,71394,referat leiterin,referatsleiterin,1.0000005
sozia,soziales,73184,sozia,sozialjurist,1.0000005
sprachwissenschaftler,sprachwissenschaftler,91104,sprachwissenschaftler,sprachwissenschaftler,1.0000005
kran ken kasse betriebs wirtin,krankenkassenbetriebswirtin,73213,kran ken kasse betriebs wirtin,krankenkassenbetriebswirtin fachschule,1.0000005
bilanz buch halter,bilanzbuchhalter,72213,bilanz buch halter,bilanzbuchhalter,1.0000005
vermessung technik,vermessungstechniker,31212,vermessung technik,vermessungstechniker,1.0000005
geschäft leiter,geschäftsleiter,71104,geschäft leiter,geschäftsleiter,1.0000005
medizin produkt berater,medizinproduktberater,61123,medizin produkt berater,medizinprodukteberater,1.0000005
medizin,medizin pädagoge,84214,medizin,medizin pflegepädagoge pädagogin,1.0000005
technik informatik,technikinformatiker,11183,technik informatik,techniker agrarinformatik,1.0000005
konrektor,konrektor,84194,konrektor,konrektor an allgemeinbildenden schulen,1.0000005
politik berater,politikberater,91314,politik berater,politikberater,1.0000005
narkose arzt,narkosearzt,81454,narkose arzt,narkosearzt ärztin,1.0000005
fach gebiet leiter,fachgebietsleiter,71394,fach gebiet leiter,fachgebietsleiter,1.0000005
geschäftsstelle leiterin,geschäftsstellenleiterin,71394,geschäftsstelle leiterin,geschäftsstellenleiterin,1.0000005
kundendienst monteur,kundendienstmonteur,25132,kundendienst monteur,kundendienstmonteur klempner installateur,1.0000005
verlag geschäft fuhr,verlagsgeschäftsführer,92394,verlag geschäft fuhr,verlagsgeschäftsführer,1.0000005
land maschine mechanik,landmaschinenmechaniker,25222,land maschine mechanik,landmaschinenmechaniker,1.0000005
kachel ofen bauer,kachelofenbauer,34222,kachel ofen bauer,kachelofenbauer,1.0000005
gymnasiallehrer,gymnasiallehrer,84124,gymnasiallehrer,gymnasiallehrer,1.0000005
elektro assistentin,elektroassistentin,26302,elektro assistentin,elektroassistentin,1.0000005
verwaltung leiterin,verwaltungsleiterin,73294,verwaltung leiterin,verwaltungsleiterin,1.0000005
apotheker,apotheker,81804,apotheker,apotheker,1.0000005
restauratorin,restauratorin,93303,restauratorin,restauratorin,1.0000005
religion pädagoge,religionspädagoge,84424,religion pädagoge,religionspädagoge pädagogin jüdische gemeinden,1.0000005
philosoph,philosoph,91214,philosoph,philosoph,1.0000005
fond manager,fondsmanager,72124,fond manager,fondsmanager,1.0000005
gesundheit trainerin,gesundheitstrainerin,82212,gesundheit trainerin,gesundheitstrainerin,1.0000005
archäologe,archäologe,91234,archäologe,archäologe archäologin,1.0000005
lektor,lektor,92424,lektor,lektor verlage,1.0000005
industrie mechanik,industriemechaniker,25102,industrie mechanik,industriemechaniker,1.0000005
installateur,installateur gas wasser,34212,installateur,installateur,1.0000004
pastor,pastor a d,83314,pastor,pastor orthodox,1.0000004
back meister,bäckermeister,29293,back meister,bäcker und konditormeister,1.0000004
pressereferent,pressereferent,92203,pressereferent,pressereferent,1.0000004
bild hauer,bildhauer,93312,bild hauer,bildhauer,1.0000004
gast wirtin,gastwirtin,63394,gast wirtin,gastwirtin,1.0000004
verwaltung fach wirt,verwaltungsfachwirt,73203,verwaltung fach wirt,verwaltungsfachwirt,1.0000004
expedient,expedient,51622,expedient,expedient,1.0000004
redakt ion direktor,redaktionsdirektor,92494,redakt ion direktor,redaktionsdirektor,1.0000004
industrie kaufmann,industriekaufmann,71302,industrie kaufmann,industriekaufmann frau,1.0000004
buch händlerin,buchhändlerin,62512,buch händlerin,buchhändlerin,1.0000004
market ing berater,marketingberater,92113,market ing berater,marketingberater,1.0000004
veterinär medizinerin,veterinärmedizinerin,81504,veterinär medizinerin,veterinärmedizinerin,1.0000004
edv ingenieur,edv ingenieur,43104,edv ingenieur,edv ingenieur,1.0000004
market ing leiter,marketingleiter,92194,market ing leiter,marketingleiter marktforscher,1.0000004
projekt assistentin,projektassistentin,71402,projekt assistentin,projektassistentin,1.0000004
cad konstrukteur,cad konstrukteur,27223,cad konstrukteur,cad konstrukteur,1.0000004
schulleiterin,schulleiterin,84194,schulleiterin,schulleiterin allgemeinbildende schulen,1.0000004
privatdozentin,privatdozentin,84304,privatdozentin,privatdozentin hochschule,1.0000004
dolmetscherin,dolmetscherin,71424,dolmetscherin,dolmetscherin,1.0000004
meister technik,meister feinwerktechnik,26193,meister technik,meister automatisierungstechnik,1.0000004
sachbearbeiter,sachbearbeiter,71402,sachbearbeiter,sachbearbeiter büro,1.0000004
bauunternehmer,bauunternehmer,31194,bauunternehmer,bauunternehmer,1.0000004
ausland korrespondentin,auslandskorrespondentin,92414,ausland korrespondentin,auslandskorrespondentin,1.0000004
gold schmied,goldschmied,93522,gold schmied,goldschmied,1.0000004
personalreferent,personalreferent,71524,personalreferent,personalreferent,1.0000004
elektrik,elektriker,26212,elektrik,elektriker,1.0000004
orthopädie technik,orthopädietechniker,82513,orthopädie technik,orthopädietechniker,1.0000004
psycho eutin,psychotherapeutin,81634,psycho eutin,psychotherapeutin,1.0000004
gestaltung,gestaltung,23212,gestaltung,gestaltungstechnische r assistent,1.0000004
klempner,klempner,34202,klempner,klempner,1.0000004
ch fred akteur,chefredakteur,92494,ch fred akteur,chefredakteur,1.0000004
fernsehmechaniker,fernsehmechaniker,26312,fernsehmechaniker,fernsehmechaniker,1.0000004
haupt mann,hauptmann,01104,haupt mann,hauptmann,1.0000004
metall gestalt,metallgestalter,93513,metall gestalt,metallgestalter,1.0000004
steuer jurist,steuerjurist,73184,steuer jurist,steuerjurist,1.0000004
kost,kostuembildnerin,29152,kost,koster,1.0000004
unternehmer,unternehmer,71104,unternehmer,unternehmer,1.0000004
staat sekretär,staatssekretärrin,71214,staat sekretär,staatssekretär,1.0000004
betriebs rat,betriebsrat,71234,betriebs rat,betriebsrat rätin,1.0000004
ch fred akt uri,chefredakteurin,92494,ch fred akt uri,chefredakteurin,1.0000004
hotel fach mann,hotelfachmann,63222,hotel fach mann,hotelfachmann frau,1.0000004
rehabilitation berater,rehabilitationsberater i r,71524,rehabilitation berater,rehabilitationsberater,1.0000004
abteilung direktorin,abteilungsdirektorin,71394,abteilung direktorin,abteilungsdirektorin,1.0000004
berg mann,bergmann,21112,berg mann,berg maschinenmann frau,1.0000004
slawistin,slawistin,91144,slawistin,slawistin,1.0000004
versand leiter,versandleiter,51394,versand leiter,versandleiter,1.0000004
umwelt chemiker,umweltchemiker,42314,umwelt chemiker,umweltchemiker,1.0000004
fremdsprache korrespondent,fremdsprachenkorrespondent,71413,fremdsprache korrespondent,fremdsprachenkorrespondent,1.0000004
trainer,trainer,84553,trainer,trainer cardiofitness,1.0000004
gesa schuldirektor,gesamtschuldirektor,84194,gesa schuldirektor,gesamtschuldirektor,1.0000004
büro kaufmann,bürokaufmann,71402,büro kaufmann,bürokaufmann frau,1.0000004
jurist,jurist,73104,jurist,jurist,1.0000004
security,security client executive,53112,security,security guard,1.0000004
kunst erzieherin,kunsterzieherin,84434,kunst erzieherin,kunsterzieherin,1.0000004
meteorologe,meteorologe,42144,meteorologe,meteorologe meteorologin,1.0000004
wirt schaft jurist,wirtschaftsjurist,73184,wirt schaft jurist,wirtschafts und arbeitsjurist,1.0000004
konferenz dolmetscherin,konferenzdolmetscherin,71424,konferenz dolmetscherin,konferenzdolmetscherin,1.0000004
realschullehrerin,realschullehrerin,84124,realschullehrerin,realschullehrerin,1.0000004
dame neiderin,damenschneiderin,28222,dame neiderin,damenschneiderin,1.0000004
leiterin,leiterin förderprogrammen hochschulbereich,84294,leiterin,leiterin altenpflegeschule,1.0000004
bauingenieur,bauingenieur,31104,bauingenieur,bauingenieur,1.0000004
geo wissenschaftlerin,geowissenschaftlerin,42124,geo wissenschaftlerin,geowissenschaftlerin,1.0000004
küche leiter,küchenleiter,29394,küche leiter,küchenleiter,1.0000004
oberin,oberin,63302,oberin,oberin kellner in,1.0000004
management berater,managementberater,71324,management berater,managementberater,1.0000004
schlosserin,schlosserin,24412,schlosserin,schlosserin,1.0000004
hochschulprofessorin,hochschulprofessorin,84304,hochschulprofessorin,hochschulprofessorin,1.0000004
referentin,referentin bmbf,84404,referentin,referentin bildung,1.0000004
malerin,malerin,33212,malerin,malerin,1.0000002
flex meister,flexografenmeister,23293,flex meister,flexografenmeister,1.0000002
lebensmittel chemiker,lebensmittelchemiker,41384,lebensmittel chemiker,lebensmittelchemiker,1.0000002
chemie fach arbeit,chemiefacharbeiter,41312,chemie fach arbeit,chemiefacharbeiter,1.0000002
bankvorstand,bankvorstand,72194,bankvorstand,bankvorstand,1.0000002
musik journalist,musikjournalist,92414,musik journalist,musikjournalist,1.0000002
forst wirt schaft meister,forstwirtschaftsmeister,11793,forst wirt schaft meister,forstwirtschaftsmeister,1.0000002
grafik,grafiker,23223,grafik,grafiker,1.0000002
bauschlosser meister,bauschlossermeister,24493,bauschlosser meister,bauschlossermeister,1.0000002
prüfer,prüfer röntgengeräte,28132,prüfer,prüfer seilerei,1.0000002
verwaltung wirtin,verwaltungswirtin,73204,verwaltung wirtin,verwaltungswirtin,1.0000002
werbekaufmann,werbekaufmann,92112,werbekaufmann,werbekaufmann frau,1.0000002
bezirk amt leiter,bezirksamtsleiter,73294,bezirk amt leiter,bezirksamtsleiter,1.0000002
sprachlehrerin,sprachlehrerin,84454,sprachlehrerin,sprachlehrerin,1.0000002
schild maler,schildermaler,93542,schild maler,schildermaler,1.0000002
psycho therapeut,psychotherapeut,81634,psycho therapeut,psychotherapeut,1.0000002
pr beraterin,pr beraterin,92203,pr beraterin,pr beraterin,1.0000002
qualität prüfer,qualitätsprüfer,27312,qualität prüfer,qualitäts u güteprüfer spanende fertigung,1.0000002
sozialwissenschaftler,sozialwissenschaftler,91324,sozialwissenschaftler,sozialwissenschaftler,1.0000002
honorar professor,honorarprofessor,84304,honorar professor,honorarprofessor,1.0000002
personalleiter,personalleiter,71594,personalleiter,personalleiter,1.0000002
industrie mechanik technik,industriemechaniker betriebstechnik,25102,industrie mechanik technik,industriemechaniker betriebstechnik,1.0000002
mischer,mischer,32222,mischer,mischer schwarzstraßenbau,1.0000002
umwelt,umwelt,42314,umwelt,umwelt zertifizierer,1.0000002
tier,tieraerztin,81594,tier,tierärztliche r direktor,1.0000002
elektro installateur meister,elektroinstallateurmeister,26293,elektro installateur meister,elektroinstallateurmeister,1.0000002
gartenbau,gartenbau,12102,gartenbau,gartenbauer,1.0000002
umwelt wissenschaftler,umweltwissenschaftler,42314,umwelt wissenschaftler,umweltwissenschaftler,1.0000002
sprachwissenschaftlerin,sprachwissenschaftlerin,91104,sprachwissenschaftlerin,sprachwissenschaftlerin,1.0000002
edv techniker,edv techniker,43103,edv techniker,edv techniker,1.0000002
amt tier arzt,amtstierarzt,81504,amt tier arzt,amtstierarzt ärztin,1.0000002
übersetzer,übersetzer,71424,übersetzer,übersetzer,1.0000002
mechanik,mechaniker,25102,mechanik,mechaniker,1.0000002
bergbau ingenieur,bergbauingenieur,21114,bergbau ingenieur,bergbauingenieur,1.0000002
verwaltung wirt,verwaltungswirt,73204,verwaltung wirt,verwaltungswirt,1.0000002
energie,energie,26232,energie,energietechnische r assistent,1.0000002
tages mutter,tagesmutter,83111,tages mutter,tagesmutter vater,1.0000002
diplom wissenschaftlerin,diplom politikwissenschaftlerin,91314,diplom wissenschaftlerin,diplom staatswissenschaftlerin außenpolitik,1.0000002
orthopädie mechanik,orthopädiemechaniker,82512,orthopädie mechanik,orthopädiemechaniker,1.0000002
dv organisator,dv organisator,43333,dv organisator,dv organisator,1.0000002
schornsteinfegerin,schornsteinfegerin,42212,schornsteinfegerin,schornsteinfegerin,1.0000002
bachelor,bachelor of arts,71523,bachelor,bachelor of arts beschäftigungsor beratung u fallmanag,1.0000002
rente berater,rentenberater,72124,rente berater,rentenberater,1.0000002
medien kaufmann,medienkaufmann,92302,medien kaufmann,medienkaufmann frau digital print,1.0000002
edv leiter,edv leiter,43394,edv leiter,edv leiter,1.0000002
bank fach wirtin,bankfachwirtin,72113,bank fach wirtin,bankfachwirtin,1.0000002
beruf schullehrerin,berufsschullehrerin,84214,beruf schullehrerin,berufsschullehrerin,1.0000002
altenthera eutin,altentherapeutin,81723,altenthera eutin,altentherapeutin,1.0000002
feuerwehr mann,feuerwehrmann,53133,feuerwehr mann,feuerwehrmann frau geh techn dienst,1.0000002
dolmetscher,dolmetscher,71424,dolmetscher,dolmetscher,1.0000002
gebäude technik,gebäudetechniker,34103,gebäude technik,gebäudetechniker,1.0000002
land wirtin,landwirtin,11102,land wirtin,landwirtin,1.0000002
nervenarzt,nervenarzt,81464,nervenarzt,nervenarzt ärztin,1.0000002
museum leiterin,museumsleiterin,94794,museum leiterin,museumsleiterin,1.0000002
fachkraft sicherheit,fachkraft arbeitssicherheit,53123,fachkraft sicherheit,fachkraft arbeitssicherheit,1.0000002
steuer fach wirtin,steuerfachwirtin,72303,steuer fach wirtin,steuerfachwirtin,1.0000002
fach hochschuldozent,fachhochschuldozentin,84304,fach hochschuldozent,fachhochschuldozent,1.0000002
fach arzt chirurgie,facharzt unfallchirurgie chirurgie,81434,fach arzt chirurgie,facharzt ärztin herzchirurgie,1.0000002
verfahrens mechanikerin,verfahrensmechanikerin,22102,verfahrens mechanikerin,verfahrensmechanikerin extrusion,1.0000002
kirche musik,kirchenmusiker,94114,kirche musik,kirchenmusiker,1.0000002
gas,gas,84223,gas,gaslehrschweißer,1.0000002
werk zeug mechanik,werkzeugmechaniker,24522,werk zeug mechanik,werkzeugmechaniker,1.0000002
werbetechnik,werbetechniker,23213,werbetechnik,werbetechniker,1.0000002
reed,reeder,51694,reed,reeder,1.0000002
umwelt technik,umwelttechnik,42203,umwelt technik,umwelttechniker,1.0000002
betriebsmittel planer,betriebsmittelplaner,27304,betriebsmittel planer,betriebsmittelplaner,1.0000002
pharma referent,pharmareferent,81883,pharma referent,pharmareferent,1.0000002
drogist,drogist,62412,drogist,drogist,1.0000002
forst,forsten,11713,forst,förster geh dienst,1.0000002
antiquar,antiquar,62512,antiquar,antiquar,1.0000002
pflegehelfer,pflegehelferin fsj,82101,pflegehelfer,pflegehelfer altenpflege,1.0000002
kapitän,kapitän,52414,kapitän,kapitän,1.0000002
büro info ion elektronik,büroinformationselektroniker,26312,büro info ion elektronik,büroinformationselektroniker,1.0000002
bunde richter,bundesrichter a d,73154,bunde richter,bundesrichter,1.0000002
gemeinde diakon,gemeindediakon,83323,gemeinde diakon,gemeindediakon,1.0000002
medizin technik ing uri,medizintechnikingenieurin,82504,medizin technik ing uri,medizintechnikingenieurin,1.0000002
kraftfahr zeug mechanik,kraftfahrzeugmechaniker,26332,kraftfahr zeug mechanik,kraftfahrzeug elektromechaniker,1.0000002
lehrerin,lehrerin,84124,lehrerin,lehrerin,1.0000002
regionalwissenschaft,regionalwissenschaftler,91254,regionalwissenschaft,regionalwissenschaftler,1.0000002
medizin ische meister,medizinischer bademeister,81712,medizin ische meister,medizinische r bademeister,1.0000002
schlosser,schlosser,24412,schlosser,schlosser,1.0000002
honorar professorin,honorarprofessorin,84304,honorar professorin,honorarprofessorin,1.0000002
apothekerin,apothekerin,81804,apothekerin,apothekerin,1.0000002
zahn,zahnaerztin,81112,zahn,zahnärztliche helferin,1.0000002
maurer,maurer,32122,maurer,maurer,1.0000002
land wirt schaft meister,landwirtschaftsmeister,29193,land wirt schaft meister,landwirtschaftliche r brennmeister,1.0000002
professor,professor,84304,professor,professor hochschulen,1.0000002
it beraterin,it beraterin,43224,it beraterin,it beraterin,1.0000002
personalreferentin,personalreferentin,71524,personalreferentin,personalreferentin,1.0000002
funk,funkangestellter,51182,funk,funker,1.0000002
raumfahrt technik,raumfahrttechnik,25233,raumfahrt technik,raumfahrttechniker,1.0000002
info ion elektrik,informationselektriker,26312,info ion elektrik,informationselektriker,1.0000001
pol,polit referent,92203,pol,politische r berater,1.0000001
gesa schullehrerin,gesamtschullehrerin,84124,gesa schullehrerin,gesamtschullehrerin,1.0000001
informatik assistent,informatikassistent,43102,informatik assistent,informatikassistent,1.0000001
abteilung direktor,abteilungsdirektor,71394,abteilung direktor,abteilungsdirektor,1.0000001
vertriebs planer,vertriebsplaner,61124,vertriebs planer,vertriebsplaner,1.0000001
touristik fach wirt,touristikfachwirt,63113,touristik fach wirt,touristikfachwirt,1.0000001
chemie laborantin,chemielaborantin,41322,chemie laborantin,chemielaborantin,1.0000001
buch halterin,buchhalterin,72213,buch halterin,buchhalterin,1.0000001
religion wissenschaftlerin,religionswissenschaftlerin,91214,religion wissenschaftlerin,religionswissenschaftlerin,1.0000001
vermessung technikerin,vermessungstechnikerin,31212,vermessung technikerin,vermessungstechnikerin,1.0000001
maschinenbau meister,maschinenbaumeister,25193,maschinenbau meister,maschinenbaumeister,1.0000001
praxis leiter,praxisanleiter abm stellen,84213,praxis leiter,praxisanleiter pflegeberufe,1.0000001
ing uri technik,ingenieurin medizintechnik,25224,ing uri technik,ingenieurin agrartechnik,1.0000001
stadt planer,stadtplaner,31124,stadt planer,stadtplaner,1.0000001
hochschullehrerin,hochschullehrerin,84304,hochschullehrerin,hochschullehrerin chemie,1.0000001
verlag vertreter,verlagsvertreter,92303,verlag vertreter,verlagsvertreter,1.0000001
rettung assistent,rettungsassistent,81342,rettung assistent,rettungsassistent,1.0000001
wirt schaft,wirtschaft,91344,wirt schaft,wirtschafts und marktforscher,1.0000001
chemie ing uri,chemieingenieurin,41314,chemie ing uri,chemieingenieurin,1.0000001
nachricht technik,nachrichtentechniker,26313,nachricht technik,nachrichtentechniker,1.0000001
