"full_name","yob","occupation","female","party","list_state","list_rank","elec_district","elected","elec_year","direct_cand","list_cand","last_name","first_name","age","occ_1","occ_2","occ_3","occ_4","legislator_status","is_legislator","is_only_legislator","legislative_position"
"ASSMANN, HEINZ OTTO",1931,"bezirksleiter",0,"spd","NW",37,,0,1980,0,1,"ASSMANN","HEINZ OTTO",49,"bezirksleiter",,,,"not_legis",FALSE,FALSE,
"AUCH, DIETER",1941,"werkzeugmacher",0,"spd","BW",25,166,1,1980,1,1,"AUCH","DIETER",39,"werkzeugmacher",,,,"not_legis",FALSE,FALSE,
"AUGUSTIN, ANNELIESE",1930,"apothekerin",1,"cdu_csu","HE",23,,0,1980,0,1,"AUGUSTIN","ANNELIESE",50,"apothekerin",,,,"not_legis",FALSE,FALSE,
"AUHAGEN, FRIEDRICH-HENDRIK",1951,"doktorand",0,"greens","",,191,0,1980,1,0,"AUHAGEN","FRIEDRICH-HENDRIK",29,"doktorand",,,,"not_legis",FALSE,FALSE,
"AUSSENHOFER, WALTER",1956,"student",0,"greens","BY",37,237,0,1980,1,1,"AUSSENHOFER","WALTER",24,"student",,,,"not_legis",FALSE,FALSE,
"AUSTERMANN, DIETRICH",1941,,0,"cdu_csu","SH",12,3,0,1980,1,1,"AUSTERMANN","DIETRICH",39,,,,,"only_legis",TRUE,TRUE,"bürgermeister"
"BAACK, HERBERT",1921,"oberwerkmeister",0,"spd","",,111,1,1980,1,0,"BAACK","HERBERT",59,"oberwerkmeister",,,,"not_legis",FALSE,FALSE,
"BACHMAIER, HERMANN",1939,"rechtsanwalt",0,"spd","BW",27,172,0,1980,1,1,"BACHMAIER","HERMANN",41,"rechtsanwalt",,,,"not_legis",FALSE,FALSE,
"BACHMEIER, URSULA MARIA",1944,"verwaltungsangestellte",1,"cdu_csu","HE",37,,0,1980,0,1,"BACHMEIER","URSULA MARIA",36,"verwaltungsangestellte",,,,"not_legis",FALSE,FALSE,
"BACKES, ALBERT",1926,"regierungsangestellter",0,"spd","SL",8,,0,1980,0,1,"BACKES","ALBERT",54,"regierungsangestellter",,,,"not_legis",FALSE,FALSE,
"BAEDER, WOLFGANG",1944,"major der bundeswehr",0,"fdp","BY",39,232,0,1980,1,1,"BAEDER","WOLFGANG",36,"major bundeswehr",,,,"not_legis",FALSE,FALSE,
"BAEHR, PROF.DR. PETER GOTTFRIED",1936,"hauptamtlicher beigeordneter",0,"fdp","SL",3,244,0,1980,1,1,"BAEHR","PROF.DR. PETER GOTTFRIED",44,"hauptamtlicher beigeordneter",,,,"not_legis",FALSE,FALSE,
"BAHR, EGON KARL-HEINZ",1922,"bundesgeschäftsführer",0,"spd","SH",1,1,1,1980,1,1,"BAHR","EGON KARL-HEINZ",58,"bundesgeschäftsführer",,,,"not_legis",FALSE,FALSE,
"BALKHAUS, PAUL",1915,"landesinnungsmeister",0,"fdp","HE",71,,0,1980,0,1,"BALKHAUS","PAUL",65,"landesinnungsmeister",,,,"not_legis",FALSE,FALSE,
"BALKOWSKI, LIESEL",1934,"innenarchitektin",1,"fdp","HE",43,,0,1980,0,1,"BALKOWSKI","LIESEL",46,"innenarchitektin",,,,"not_legis",FALSE,FALSE,
"BALSER, DR. FROLINDE",1924,"wissenschaftliche mitarbeiterin",1,"spd","HE",24,,0,1980,0,1,"BALSER","DR. FROLINDE",56,"wissenschaftliche mitarbeiterin",,,,"is_legis",TRUE,FALSE,"mdb"
"BAMBERG, GEORG",1936,"bundesbahnamtmann",0,"spd","BY",31,209,0,1980,1,1,"BAMBERG","GEORG",44,"bundesbahnamtmann",,,,"not_legis",FALSE,FALSE,
"BANGE, KLAUS-DIETER",1950,"student",0,"spd","NI",80,,0,1980,0,1,"BANGE","KLAUS-DIETER",30,"student",,,,"not_legis",FALSE,FALSE,
"BANZER, JUERGEN",1955,"student",0,"cdu_csu","HE",90,,0,1980,0,1,"BANZER","JUERGEN",25,"student",,,,"not_legis",FALSE,FALSE,
"BARD, DR. SABINE",1946,"tierärztin",1,"greens","BY",38,,0,1980,0,1,"BARD","DR. SABINE",34,"tierärztin",,,,"not_legis",FALSE,FALSE,
"BARDENS, DR. HANS",1927,"arzt",0,"spd","RP",6,157,1,1980,1,1,"BARDENS","DR. HANS",53,"arzt",,,,"is_legis",TRUE,FALSE,"mdb"
"BARTH, HERBERT",1937,"regierungsamtmann",0,"spd","NI",46,,0,1980,0,1,"BARTH","HERBERT",43,"regierungsamtmann",,,,"not_legis",FALSE,FALSE,
