"full_name","yob","occupation","female","party","list_state","list_rank","elec_district","elected","elec_year","direct_cand","list_cand","last_name","first_name","age","occ_1","occ_2","occ_3","occ_4","legislator_status","is_legislator","is_only_legislator","legislative_position"
"Augustinowitz, Jürgen",1964,"bankkaufmann",0,"cdu_csu","NW",51,118,1,1990,1,1,"Augustinowitz","Jürgen",26,"bankkaufmann",,,,"not_legis",FALSE,FALSE,
"Auhagen, Hendrik",1951,"lehrer",0,"greens","",,191,0,1990,1,0,"Auhagen","Hendrik",39,"lehrer",,,,"not_legis",FALSE,FALSE,
"Aukes, Ewald",1951,"geschäftsführer",0,"fdp","",,12,0,1990,1,0,"Aukes","Ewald",39,"geschäftsführer",,,,"not_legis",FALSE,FALSE,
"Aumann, Carsten Roland Hans-Heinrich",1957,"freiberuflicher fachautor",0,"fdp","BY",20,224,0,1990,1,1,"Aumann","Carsten Roland Hans-Heinrich",33,"freiberuflicher fachautor",,,,"not_legis",FALSE,FALSE,
"Austermann, Dietrich",1941,"rechtsanwalt",0,"cdu_csu","SH",7,3,1,1990,1,1,"Austermann","Dietrich",49,"rechtsanwalt",,,,"not_legis",FALSE,FALSE,
"Babel, Dr. Gisela",1938,"mitglied des hessischen landtags",1,"fdp","HE",3,129,1,1990,1,1,"Babel","Dr. Gisela",52,"mitglied des hessischen landtags",,,,"not_legis",FALSE,FALSE,
"Bach, Annemarie Charlotte",1934,"gymnastiklehrerin",1,"greens","",,134,0,1990,1,0,"Bach","Annemarie Charlotte",56,"gymnastiklehrerin",,,,"not_legis",FALSE,FALSE,
"Bachmaier, Hermann",1939,"rechtsanwalt",0,"spd","BW",14,172,1,1990,1,1,"Bachmaier","Hermann",51,"rechtsanwalt",,,,"is_legis",TRUE,FALSE,"mdb"
"Backes, Christa",1951,"lehrerin",1,"spd","SL",22,,0,1990,0,1,"Backes","Christa",39,"lehrerin",,,,"not_legis",FALSE,FALSE,
"Backhaus, Diedrich",1953,"beamter",0,"cdu_csu","HE",54,,0,1990,0,1,"Backhaus","Diedrich",37,"beamter",,,,"not_legis",FALSE,FALSE,
"Backhaus, Georg",1930,"technischer angestellter",0,"spd","HH",10,,0,1990,0,1,"Backhaus","Georg",60,"technischer angestellter",,,,"not_legis",FALSE,FALSE,
"Bade, Hartmut",1961,"angestellter",0,"fdp","HE",23,,0,1990,0,1,"Bade","Hartmut",29,"angestellter",,,,"not_legis",FALSE,FALSE,
"Baeuerle, Jens-Uwe",1969,"soldat",0,"cdu_csu","BW",35,,0,1990,0,1,"Baeuerle","Jens-Uwe",21,"soldat",,,,"not_legis",FALSE,FALSE,
"Bähnisch, Ulrich",1953,"selbständiger kaufmann",0,"fdp","BY",19,201,0,1990,1,1,"Bähnisch","Ulrich",37,"selbständig kaufmann",,,,"not_legis",FALSE,FALSE,
"Bakker, Birgit",1962,"arbeiterin",1,"left","NI",4,,0,1990,0,1,"Bakker","Birgit",28,"arbeiterin",,,,"not_legis",FALSE,FALSE,
"Baldovski, Thomas",1957,"diplom-lehrer",0,"left","ST",11,285,0,1990,1,1,"Baldovski","Thomas",33,"diplom lehrer",,,,"not_legis",FALSE,FALSE,
"Ballke, Dr. Dierk-Eckhardt",1943,"ingenieur",0,"cdu_csu","BE",12,260,0,1990,1,1,"Ballke","Dr. Dierk-Eckhardt",47,"ingenieur",,,,"not_legis",FALSE,FALSE,
"Ballof, Rolf Günther",1938,"oberstudiendirektor",0,"fdp","NI",13,48,0,1990,1,1,"Ballof","Rolf Günther",52,"oberstudiendirektor",,,,"not_legis",FALSE,FALSE,
"Balzer, Heinrich Ewald",1932,"rentner",0,"spd","RP",29,,0,1990,0,1,"Balzer","Heinrich Ewald",58,"rentner",,,,"not_legis",FALSE,FALSE,
"Banzer, Jürgen",1955,"rechtsanwalt",0,"cdu_csu","HE",23,,0,1990,0,1,"Banzer","Jürgen",35,"rechtsanwalt",,,,"not_legis",FALSE,FALSE,
"Barbe, Angelika",1951,"diplombiologin",1,"spd","BE",6,261,1,1990,1,1,"Barbe","Angelika",39,"diplombiologin",,,,"not_legis",FALSE,FALSE,
"Barfaut, Kurt",1945,"ingenieur-ökonom",0,"fdp","",,275,0,1990,1,0,"Barfaut","Kurt",45,"ingenieur ökonom",,,,"not_legis",FALSE,FALSE,
"Bargfrede, Heinz-Günter",1942,"postbeamter",0,"cdu_csu","NI",31,30,1,1990,1,1,"Bargfrede","Heinz-Günter",48,"postbeamter",,,,"not_legis",FALSE,FALSE,
"Barsakow, Gisela",1951,"lehrerin",1,"left","TH",9,,0,1990,0,1,"Barsakow","Gisela",39,"lehrerin",,,,"not_legis",FALSE,FALSE,
"Barth, Erich",1954,"lehrer",0,"left","SL",4,,0,1990,0,1,"Barth","Erich",36,"lehrer",,,,"not_legis",FALSE,FALSE,
"Barthel, Klaus",1955,"jugendbildungsreferent",0,"spd","BY",34,210,0,1990,1,1,"Barthel","Klaus",35,"jugendbildungsreferent",,,,"not_legis",FALSE,FALSE,
"Bartholme, Dr. Klaus",1956,"dilpom-mathematiker",0,"spd","TH",15,,0,1990,0,1,"Bartholme","Dr. Klaus",34,"dilpom mathematiker",,,,"not_legis",FALSE,FALSE,
"Bartsch, Holger",1941,"diplom-ingenieur",0,"spd","BB",2,281,1,1990,1,1,"Bartsch","Holger",49,"diplom ingenieur",,,,"not_legis",FALSE,FALSE,
"Bartscher, Petra",1954,"zootechniker",1,"left","ST",8,,0,1990,0,1,"Bartscher","Petra",36,"zootechniker",,,,"not_legis",FALSE,FALSE,
"Bärwinkel, Konrad",1933,"studiendirektor",0,"cdu_csu","NI",39,,0,1990,0,1,"Bärwinkel","Konrad",57,"studiendirektor",,,,"not_legis",FALSE,FALSE,
"Barz, Uwe Hubert Wilhelm",1943,"geschäfstsführer",0,"fdp","BE",11,251,0,1990,1,1,"Barz","Uwe Hubert Wilhelm",47,"geschäfstsführer",,,,"not_legis",FALSE,FALSE,
"Battis, Dr. Ulrich",1944,"universitätsprofessor",0,"fdp","NW",21,123,0,1990,1,1,"Battis","Dr. Ulrich",46,"universitätsprofessor",,,,"not_legis",FALSE,FALSE,
"Bauer, Dr. Wolf",1939,"apotheker",0,"cdu_csu","NW",50,58,1,1990,1,1,"Bauer","Dr. Wolf",51,"apotheker",,,,"not_legis",FALSE,FALSE,
"Bauer, Harald",1949,"physiker",0,"cdu_csu","ST",19,,0,1990,0,1,"Bauer","Harald",41,"physiker",,,,"is_legis",TRUE,FALSE,"mdb"
"Bauermeister, Horst",1950,"diplom-ingenieur, angestellter",0,"fdp","",,290,0,1990,1,0,"Bauermeister","Horst",40,"diplom ingenieur","angestellter",,,"not_legis",FALSE,FALSE,
"Baum, Gerhart Rudolf",1932,"rechtsanwalt",0,"fdp","NW",9,59,1,1990,1,1,"Baum","Gerhart Rudolf",58,"rechtsanwalt",,,,"not_legis",FALSE,FALSE,
"Baumann, Uwe",1959,"diplom-biologe",0,"greens","NW",23,99,0,1990,1,1,"Baumann","Uwe",31,"diplom biologe",,,,"not_legis",FALSE,FALSE,
"Baumbach, Gundula",1962,"diplomökonom",1,"greens","",,304,0,1990,1,0,"Baumbach","Gundula",28,"diplomökonom",,,,"not_legis",FALSE,FALSE,
"Baumeister, Brigitte",1946,"mathematikerin",1,"cdu_csu","",,164,1,1990,1,0,"Baumeister","Brigitte",44,"mathematikerin",,,,"not_legis",FALSE,FALSE,
"Baumelt, Lothar",1951,"postarbeiter",0,"greens","",,48,0,1990,1,0,"Baumelt","Lothar",39,"postarbeiter",,,,"not_legis",FALSE,FALSE,
"Baumgarten-Diedrich, Heide",1943,"lehrerin",1,"spd","NI",40,,0,1990,0,1,"Baumgarten-Diedrich","Heide",47,"lehrerin",,,,"not_legis",FALSE,FALSE,
"Bayer, Gerold",1956,"landwirt",0,"cdu_csu","HE",29,,0,1990,0,1,"Bayer","Gerold",34,"landwirt",,,,"not_legis",FALSE,FALSE,
"Bayha, Richard",1929,"landwirt",0,"cdu_csu","HE",10,137,1,1990,1,1,"Bayha","Richard",61,"landwirt",,,,"not_legis",FALSE,FALSE,
"Becher, Karl-Heinz",1953,"diplomlehrer",0,"spd","SN",10,326,0,1990,1,1,"Becher","Karl-Heinz",37,"diplomlehrer",,,,"not_legis",FALSE,FALSE,
"Bechstein, Dr. Gunther",1943,"diplom-ingenieur",0,"cdu_csu","SN",8,,0,1990,0,1,"Bechstein","Dr. Gunther",47,"diplom ingenieur",,,,"not_legis",FALSE,FALSE,
"Beck, Armin",1968,"student der rechtswissenschaften",0,"greens","",,236,0,1990,1,0,"Beck","Armin",22,"student rechtswissenschaften",,,,"not_legis",FALSE,FALSE,
"Beck, Volker",1960,"referent",0,"greens","NW",6,59,0,1990,1,1,"Beck","Volker",30,"referent",,,,"not_legis",FALSE,FALSE,
"Becker, Alfons",1944,"lehrer",0,"greens","BW",11,176,0,1990,1,1,"Becker","Alfons",46,"lehrer",,,,"not_legis",FALSE,FALSE,
"Becker, Georg Thomas",1949,"kaufmann",0,"fdp","",,51,0,1990,1,0,"Becker","Georg Thomas",41,"kaufmann",,,,"not_legis",FALSE,FALSE,
"Becker, Helmuth",1929,"elektroingenieur",0,"spd","NW",13,98,1,1990,1,1,"Becker","Helmuth",61,"elektroingenieur",,,,"not_legis",FALSE,FALSE,
"Becker, Horst",1956,"speditions-kaufmann, student",0,"greens","",,64,0,1990,1,0,"Becker","Horst",34,"speditions kaufmann","student",,,"not_legis",FALSE,FALSE,
"Becker, Martin",1960,"elektro-ingenieur",0,"spd","SL",21,,0,1990,0,1,"Becker","Martin",30,"elektro ingenieur",,,,"not_legis",FALSE,FALSE,
"Becker, Roland",1940,"ingenieur",0,"cdu_csu","SN",32,,0,1990,0,1,"Becker","Roland",50,"ingenieur",,,,"not_legis",FALSE,FALSE,
"Becker, Thorulf",1940,"diplom-ingenieur für maschinenbau",0,"left","",,267,0,1990,1,0,"Becker","Thorulf",50,"diplom ingenieur maschinenbau",,,,"not_legis",FALSE,FALSE,
"Becker-Inglau, Ingrid",1946,"lehrerin",1,"spd","NW",40,90,1,1990,1,1,"Becker-Inglau","Ingrid",44,"lehrerin",,,,"not_legis",FALSE,FALSE,
"Beckmann, Klaus",1944,"rechtsanwalt",0,"fdp","NW",10,90,1,1990,1,1,"Beckmann","Klaus",46,"rechtsanwalt",,,,"not_legis",FALSE,FALSE,
"Bednorz, Wulf",1951,"tierarzt",0,"left","MV",15,,0,1990,0,1,"Bednorz","Wulf",39,"tierarzt",,,,"not_legis",FALSE,FALSE,
"Beer, Angelika",1957,"rechtsanwalts-, notargehilfin",1,"greens","SH",1,6,0,1990,1,1,"Beer","Angelika",33,"rechtsanwalts","notargehilfin",,,"not_legis",FALSE,FALSE,
"Behm, Joachim",1941,"soldat",0,"fdp","SH",7,,0,1990,0,1,"Behm","Joachim",49,"soldat",,,,"not_legis",FALSE,FALSE,
"Behrends, Karl-Friedrich",1943,"diplom-lehrer",0,"fdp","ST",13,,0,1990,0,1,"Behrends","Karl-Friedrich",47,"diplom lehrer",,,,"not_legis",FALSE,FALSE,
"Behrendt, Martin",1966,"diplom-physiker cand. rer. nat.",0,"fdp","BY",18,231,0,1990,1,1,"Behrendt","Martin",24,"diplom physiker cand rer nat",,,,"not_legis",FALSE,FALSE,
"Behrens, Cornelia",1954,"volkwirtin",1,"fdp","NI",15,38,0,1990,1,1,"Behrens","Cornelia",36,"volkwirtin",,,,"not_legis",FALSE,FALSE,
"Beier, Barbara",1941,"kindergärtnerin",1,"left","TH",10,,0,1990,0,1,"Beier","Barbara",49,"kindergärtnerin",,,,"not_legis",FALSE,FALSE,
"Belle, Meinrad",1943,,0,"cdu_csu","",,190,1,1990,1,0,"Belle","Meinrad",47,,,,,"only_legis",TRUE,TRUE,"bürgermeister"
"Belz, Albrecht",1942,"realschullehrer",0,"greens","",,120,0,1990,1,0,"Belz","Albrecht",48,"realschullehrer",,,,"not_legis",FALSE,FALSE,
"Benecke, Horst",1927,"zahnarzt",0,"fdp","NI",27,30,0,1990,1,1,"Benecke","Horst",63,"zahnarzt",,,,"not_legis",FALSE,FALSE,
"Berg, Fanz-Josef",1957,"realschullehrer",0,"cdu_csu","SL",6,,0,1990,0,1,"Berg","Fanz-Josef",33,"realschullehrer",,,,"not_legis",FALSE,FALSE,
"Berger, Gerhard",1929,"zahnarzt",0,"spd","BB",13,277,0,1990,1,1,"Berger","Gerhard",61,"zahnarzt",,,,"not_legis",FALSE,FALSE,
"Berger, Herbert",1956,"schlosser",0,"left","BB",10,,0,1990,0,1,"Berger","Herbert",34,"schlosser",,,,"not_legis",FALSE,FALSE,
"Berger, Johann Anton",1938,"gewerkschaftssekretär",0,"spd","NW",22,,1,1990,0,1,"Berger","Johann Anton",52,"gewerkschaftssekretär",,,,"not_legis",FALSE,FALSE,
"Bergmann, Bernhard",1954,"antiquar",0,"left","BY",5,,0,1990,0,1,"Bergmann","Bernhard",36,"antiquar",,,,"not_legis",FALSE,FALSE,
"Bergmann, Dr. Theodor",1916,"professor",0,"left","BW",2,,0,1990,0,1,"Bergmann","Dr. Theodor",74,"professor",,,,"not_legis",FALSE,FALSE,
"Bergmann-Pohl, Dr. Sabine",1946,"ärztin",1,"cdu_csu","BE",1,258,1,1990,1,1,"Bergmann-Pohl","Dr. Sabine",44,"ärztin",,,,"not_legis",FALSE,FALSE,
"Bergner, Werner",1939,"diplom-landwirt",0,"cdu_csu","ST",21,,0,1990,0,1,"Bergner","Werner",51,"diplom landwirt",,,,"not_legis",FALSE,FALSE,
"Bernrath, Hans Gottfried",1927,"postbeamter",0,"spd","NW",12,77,1,1990,1,1,"Bernrath","Hans Gottfried",63,"postbeamter",,,,"not_legis",FALSE,FALSE,
"Bersch, Dr. Walter",1954,"diplom-politologe",0,"spd","RP",16,148,0,1990,1,1,"Bersch","Dr. Walter",36,"diplom politologe",,,,"not_legis",FALSE,FALSE,
"Berthold, Annegret Brigitte",1951,"lehrerin",1,"left","",,320,0,1990,1,0,"Berthold","Annegret Brigitte",39,"lehrerin",,,,"not_legis",FALSE,FALSE,
"Bertl, Hans-Werner",1944,"berufsberater",0,"spd","NW",36,71,0,1990,1,1,"Bertl","Hans-Werner",46,"berufsberater",,,,"not_legis",FALSE,FALSE,
"Beucher, Friedhelm Julius",1946,"lehrer",0,"spd","NW",28,66,1,1990,1,1,"Beucher","Friedhelm Julius",44,"lehrer",,,,"not_legis",FALSE,FALSE,
"Beverfoerden, Jürgen",1944,"geschäftsführer",0,"spd","NI",37,,0,1990,0,1,"Beverfoerden","Jürgen",46,"geschäftsführer",,,,"not_legis",FALSE,FALSE,
"Bhattacharyya, Dipankar",1960,"kaufmännischer angestellter",0,"fdp","RP",28,,0,1990,0,1,"Bhattacharyya","Dipankar",30,"kaufmännischer angestellter",,,,"not_legis",FALSE,FALSE,
"Biedenkopf, Prof. Dr. Kurt Hans",1930,"rechtsanwalt",0,"cdu_csu","NW",7,,1,1990,0,1,"Biedenkopf","Prof. Dr. Kurt Hans",60,"rechtsanwalt",,,,"not_legis",FALSE,FALSE,
"Bierling, Hans-Dirk",1944,"diplom-ingenieur",0,"cdu_csu","SN",29,313,1,1990,1,1,"Bierling","Hans-Dirk",46,"diplom ingenieur",,,,"not_legis",FALSE,FALSE,
"Biernath, Jürgen",1943,"diplom-ingenieur",0,"spd","ST",12,,0,1990,0,1,"Biernath","Jürgen",47,"diplom ingenieur",,,,"not_legis",FALSE,FALSE,
"Billen, Gerd",1955,"angestellter",0,"greens","NW",2,55,0,1990,1,1,"Billen","Gerd",35,"angestellter",,,,"not_legis",FALSE,FALSE,
"Bindig, Rudolf",1940,"diplom-kaufmann",0,"spd","BW",11,197,1,1990,1,1,"Bindig","Rudolf",50,"diplom kaufmann",,,,"is_legis",TRUE,FALSE,"mdb"
"Binkert, Hermann",1964,"student",0,"cdu_csu","BW",55,,0,1990,0,1,"Binkert","Hermann",26,"student",,,,"not_legis",FALSE,FALSE,
"Birk, Dietrich",1967,"student",0,"cdu_csu","BW",48,,0,1990,0,1,"Birk","Dietrich",23,"student",,,,"not_legis",FALSE,FALSE,
"Birke, Hans-Helmut",1939,"sozialarbeiter",0,"spd","SH",15,,0,1990,0,1,"Birke","Hans-Helmut",51,"sozialarbeiter",,,,"not_legis",FALSE,FALSE,
"Birkelbach, Franz",1948,"elektromeister",0,"cdu_csu","SL",17,,0,1990,0,1,"Birkelbach","Franz",42,"elektromeister",,,,"not_legis",FALSE,FALSE,
"Bischoff, Dieter",1946,"rechtsanwalt",0,"cdu_csu","NW",67,,0,1990,0,1,"Bischoff","Dieter",44,"rechtsanwalt",,,,"not_legis",FALSE,FALSE,
"Bistram, Monika",1941,"lehrerin",1,"spd","HH",9,,0,1990,0,1,"Bistram","Monika",49,"lehrerin",,,,"not_legis",FALSE,FALSE,
"Bitterlich, Matthias",1965,"maschinen-, anlagenmonteur",0,"greens","SN",14,,0,1990,0,1,"Bitterlich","Matthias",25,"maschinen","anlagenmonteur",,,"not_legis",FALSE,FALSE,
"Bittner, Dr. Ingrid",1944,"fachärztin für kinderheilkunde",1,"left","",,295,0,1990,1,0,"Bittner","Dr. Ingrid",46,"fachärztin kinderheilkunde",,,,"not_legis",FALSE,FALSE,
"Bittner, Hans-Günther",1944,"lehrer",0,"greens","",,46,0,1990,1,0,"Bittner","Hans-Günther",46,"lehrer",,,,"not_legis",FALSE,FALSE,
"Blaha, Margit",1943,"hausfrau",1,"spd","BY",37,239,0,1990,1,1,"Blaha","Margit",47,"hausfrau",,,,"not_legis",FALSE,FALSE,
"Blank, Dr. Joseph-Theodor",1947,"rechtsanwalt",0,"cdu_csu","NW",26,72,1,1990,1,1,"Blank","Dr. Joseph-Theodor",43,"rechtsanwalt",,,,"not_legis",FALSE,FALSE,
"Blank, Renate Anna",1941,"einzelhändlerin",1,"cdu_csu","BY",21,231,1,1990,1,1,"Blank","Renate Anna",49,"einzelhändlerin",,,,"not_legis",FALSE,FALSE,
"Blankenburg, Christa-Maria",1934,"diplom-sozialpädagogin",1,"cdu_csu","BE",13,,0,1990,0,1,"Blankenburg","Christa-Maria",56,"diplom sozialpädagogin",,,,"not_legis",FALSE,FALSE,
"Bläss, Petra",1964,"diplom-lehrerin, redakteurin",1,"left","BE",2,257,1,1990,1,1,"Bläss","Petra",26,"diplom lehrerin","redakteurin",,,"not_legis",FALSE,FALSE,
"Blens, Dr. Heribert",1936,"richter a. d.",0,"cdu_csu","",,60,1,1990,1,0,"Blens","Dr. Heribert",54,"richter a d",,,,"not_legis",FALSE,FALSE,
"Bleser, Peter",1952,"landwirtschaftsmeister",0,"cdu_csu","",,149,1,1990,1,0,"Bleser","Peter",38,"landwirtschaftsmeister",,,,"not_legis",FALSE,FALSE,
"Bloch von Blottnitz, Undine",1936,"innenarchitektin, hausfrau",1,"greens","NI",3,31,0,1990,1,1,"Bloch von Blottnitz","Undine",54,"innenarchitektin","hausfrau",,,"not_legis",FALSE,FALSE,
"Blomberg, Kathrin",1962,"geschäftsführerin",1,"fdp","NI",11,44,0,1990,1,1,"Blomberg","Kathrin",28,"geschäftsführerin",,,,"not_legis",FALSE,FALSE,
"Blug, Ilse",1953,"übersetzerin",1,"greens","SL",4,,0,1990,0,1,"Blug","Ilse",37,"übersetzerin",,,,"not_legis",FALSE,FALSE,
"Blüm, Dr. Norbert",1935,,0,"cdu_csu","NW",1,114,1,1990,1,1,"Blüm","Dr. Norbert",55,,,,,"only_legis",TRUE,TRUE,"bundesminister"
"Blümke, Malte",1949,"studiendirektor",0,"fdp","RP",17,151,0,1990,1,1,"Blümke","Malte",41,"studiendirektor",,,,"not_legis",FALSE,FALSE,
"Blümmel, Dieter Franz Georg",1948,"verleger",0,"fdp","BE",5,250,0,1990,1,1,"Blümmel","Dieter Franz Georg",42,"verleger",,,,"not_legis",FALSE,FALSE,
"Blunck, Lieselotte",1942,,1,"spd","SH",2,7,1,1990,1,1,"Blunck","Lieselotte",48,,,,,"only_legis",TRUE,TRUE,"mitglied des deutschen bundestages"
"Blunk, Dr. Michaela",1943,"studienleiterin",1,"fdp","SH",4,11,0,1990,1,1,"Blunk","Dr. Michaela",47,"studienleiterin",,,,"not_legis",FALSE,FALSE,
"Blütchen, Siegfried",1932,"diplom-germanist",0,"spd","SN",14,,0,1990,0,1,"Blütchen","Siegfried",58,"diplom germanist",,,,"not_legis",FALSE,FALSE,
"Bobisch, Klaus",1946,"angestellter",0,"spd","NW",73,,0,1990,0,1,"Bobisch","Klaus",44,"angestellter",,,,"not_legis",FALSE,FALSE,
"Bock, Thea",1938,"verwaltungsangestellte",1,"spd","HH",4,15,0,1990,1,1,"Bock","Thea",52,"verwaltungsangestellte",,,,"not_legis",FALSE,FALSE,
"Böcker, Manfred",1944,"fluglotse",0,"greens","",,28,0,1990,1,0,"Böcker","Manfred",46,"fluglotse",,,,"not_legis",FALSE,FALSE,
"Bodeit, Wolfgang",1938,"berufssoldat a. d.",0,"fdp","HH",4,,0,1990,0,1,"Bodeit","Wolfgang",52,"berufssoldat a d",,,,"not_legis",FALSE,FALSE,
"Bogenrieder, Nikolaus",1961,"bankfachwirt",0,"cdu_csu","BW",47,,0,1990,0,1,"Bogenrieder","Nikolaus",29,"bankfachwirt",,,,"not_legis",FALSE,FALSE,
"Bogisch, Frank",1956,"ingenieur für lederherstellung, -verarbeitung",0,"spd","ST",10,295,0,1990,1,1,"Bogisch","Frank",34,"ingenieur lederherstellung","verarbeitung",,,"not_legis",FALSE,FALSE,
"Bohl, Friedrich",1945,"rechtsanwalt, notar",0,"cdu_csu","HE",6,129,1,1990,1,1,"Bohl","Friedrich",45,"rechtsanwalt","notar",,,"not_legis",FALSE,FALSE,
"Bohlsen, Wilfried",1934,"kaufmann",0,"cdu_csu","NI",9,19,1,1990,1,1,"Bohlsen","Wilfried",56,"kaufmann",,,,"is_legis",TRUE,FALSE,"mdb"
"Böhm, Tatjana",1954,"diplom-soziologin",1,"greens","NW",3,74,0,1990,1,1,"Böhm","Tatjana",36,"diplom soziologin",,,,"not_legis",FALSE,FALSE,
"Böhm, Wilfried",1934,"diplom-volkswirt",0,"cdu_csu","HE",11,128,1,1990,1,1,"Böhm","Wilfried",56,"diplom volkswirt",,,,"not_legis",FALSE,FALSE,
"Böhme, Dr. Ulrich",1939,"studiendirektor",0,"spd","NW",58,116,1,1990,1,1,"Böhme","Dr. Ulrich",51,"studiendirektor",,,,"not_legis",FALSE,FALSE,
"Böhmer, Dr. Maria",1950,"beamtin",1,"cdu_csu","RP",9,156,1,1990,1,1,"Böhmer","Dr. Maria",40,"beamtin",,,,"not_legis",FALSE,FALSE,
"Bohn, Christiana",1951,"angestellte",1,"spd","HE",49,,0,1990,0,1,"Bohn","Christiana",39,"angestellte",,,,"not_legis",FALSE,FALSE,
"Boldt, Monika",1944,"sozialwissenschaftlerin",1,"spd","HB",8,,0,1990,0,1,"Boldt","Monika",46,"sozialwissenschaftlerin",,,,"not_legis",FALSE,FALSE,
"Bonesky, Annemarie",1952,"agrotechnikerin, diplom-lehrerin",1,"left","SN",10,323,0,1990,1,1,"Bonesky","Annemarie",38,"agrotechnikerin","diplom lehrerin",,,"not_legis",FALSE,FALSE,
"Bonitz, Dr. Eva",1942,"betriebsarzt",1,"spd","SN",12,,0,1990,0,1,"Bonitz","Dr. Eva",48,"betriebsarzt",,,,"not_legis",FALSE,FALSE,
"Borchert, Johann-Joachim",1940,"diplom-ökonom",0,"cdu_csu","NW",19,110,1,1990,1,1,"Borchert","Johann-Joachim",50,"diplom ökonom",,,,"not_legis",FALSE,FALSE,
"Bormann, Katharina",1937,"diplom-musikpädagogin",1,"cdu_csu","BB",13,,0,1990,0,1,"Bormann","Katharina",53,"diplom musikpädagogin",,,,"not_legis",FALSE,FALSE,
"Born, Alexander",1956,"diplom-jurist",0,"greens","TH",9,,0,1990,0,1,"Born","Alexander",34,"diplom jurist",,,,"not_legis",FALSE,FALSE,
"Bornemann, Michael",1961,"jurist",0,"fdp","HH",8,,0,1990,0,1,"Bornemann","Michael",29,"jurist",,,,"not_legis",FALSE,FALSE,
"Börnsen, Arne",1944,"diplom-ingenieur",0,"spd","NI",30,29,1,1990,1,1,"Börnsen","Arne",46,"diplom ingenieur",,,,"not_legis",FALSE,FALSE,
"Börnsen, Wolfgang",1942,"realschullehrer",0,"cdu_csu","SH",9,1,1,1990,1,1,"Börnsen","Wolfgang",48,"realschullehrer",,,,"not_legis",FALSE,FALSE,
"Borris, Peter Werner",1949,"kaufmännischer angestellter",0,"spd","NW",81,,0,1990,0,1,"Borris","Peter Werner",41,"kaufmännischer angestellter",,,,"not_legis",FALSE,FALSE,
"Both, Gerd",1940,"beamter",0,"fdp","RP",31,,0,1990,0,1,"Both","Gerd",50,"beamter",,,,"not_legis",FALSE,FALSE,
"Bötsch, Dr. Wolfgang",1938,"jurist",0,"cdu_csu","BY",5,237,1,1990,1,1,"Bötsch","Dr. Wolfgang",52,"jurist",,,,"is_legis",TRUE,FALSE,"mdb"
"Bottländer, Udo",1957,"kaufmännischer angestellter",0,"spd","NW",49,,0,1990,0,1,"Bottländer","Udo",33,"kaufmännischer angestellter",,,,"not_legis",FALSE,FALSE,
"Boysen, Dr. Sigurd Eckehard Helmut",1940,"wissenschaftlicher referent",0,"cdu_csu","NW",70,,0,1990,0,1,"Boysen","Dr. Sigurd Eckehard Helmut",50,"wissenschaftlicher referent",,,,"not_legis",FALSE,FALSE,
"Braband, Jutta",1949,"modegestalterin",1,"left","BB",3,,1,1990,0,1,"Braband","Jutta",41,"modegestalterin",,,,"not_legis",FALSE,FALSE,
"Bracht, Hans-Josef",1955,"regierungsangestellter",0,"cdu_csu","RP",22,,0,1990,0,1,"Bracht","Hans-Josef",35,"regierungsangestellter",,,,"not_legis",FALSE,FALSE,
"Brackmann, Norbert",1954,"volljurist",0,"cdu_csu","SH",18,,0,1990,0,1,"Brackmann","Norbert",36,"volljurist",,,,"not_legis",FALSE,FALSE,
"Brähmig, Klaus",1957,"elektromonteur",0,"cdu_csu","SN",30,317,1,1990,1,1,"Brähmig","Klaus",33,"elektromonteur",,,,"not_legis",FALSE,FALSE,
"Brämer, Klaus",1961,"diplom-ingenieur",0,"spd","SN",34,,0,1990,0,1,"Brämer","Klaus",29,"diplom ingenieur",,,,"not_legis",FALSE,FALSE,
"Bramm, Conrad",1952,"angestellter",0,"fdp","NI",23,32,0,1990,1,1,"Bramm","Conrad",38,"angestellter",,,,"not_legis",FALSE,FALSE,
"Brandl, Dr. Heiner Josef Alfons",1944,"kinderarzt",0,"fdp","BY",37,215,0,1990,1,1,"Brandl","Dr. Heiner Josef Alfons",46,"kinderarzt",,,,"not_legis",FALSE,FALSE,
"Brandstätter, Gustav",1944,"elektromeister",0,"cdu_csu","SL",19,,0,1990,0,1,"Brandstätter","Gustav",46,"elektromeister",,,,"not_legis",FALSE,FALSE,
"Brandt, Christoph",1938,"diplom-ingenieur (informatik)",0,"cdu_csu","MV",18,,0,1990,0,1,"Brandt","Christoph",52,"diplom ingenieur informatik",,,,"not_legis",FALSE,FALSE,
"Brandt, Willy",1913,"journalist",0,"spd","NW",1,,1,1990,0,1,"Brandt","Willy",77,"journalist",,,,"not_legis",FALSE,FALSE,
"Brandt-Elsweier, Anni",1932,"richterin am landgericht",1,"spd","NW",18,76,1,1990,1,1,"Brandt-Elsweier","Anni",58,"richterin am landgericht",,,,"not_legis",FALSE,FALSE,
"Braun, Christa Hedwig Renate",1940,"hausfrau",1,"spd","RP",31,,0,1990,0,1,"Braun","Christa Hedwig Renate",50,"hausfrau",,,,"not_legis",FALSE,FALSE,
"Brecht, Dr. Walter Rudolf Eberhard",1950,"diplom-physiker",0,"spd","ST",2,290,1,1990,1,1,"Brecht","Dr. Walter Rudolf Eberhard",40,"diplom physiker",,,,"not_legis",FALSE,FALSE,
